Following;	my: 1, 
level;	with: 1, of: 1, 2: 3, 
dwarves;	as: 1, “half: 1, 
hero-enemy.;	I: 1, 
felt;	kind: 1, super: 1, that: 1, bad: 2, really: 2, lucky: 1, 
kind;	of: 15, as: 1, at: 1, and: 1, 
embarrassed;	to: 1, by: 1, 
play;	it: 1, around: 1, with:: 1, with: 1, with,: 1, a: 1, the: 1, 
narrator;	would: 1, 
say;	the: 1, which: 1, that: 1, to: 1, is: 1, this: 2, 1: 1, much: 1, 
m-word;	over: 1, 
over,;	that: 1, as: 1, 
actually;	turned: 1, isn’t: 1, allow: 1, are: 2, a: 1, found: 2, started: 1, what: 1, inhibit: 1, kind: 2, like: 1, got: 2, seen: 1, even: 1, done.: 1, worked: 1, use: 1, 
turned;	my: 1, out: 4, 
those;	levels: 1, data: 1, files,: 1, to: 1, 288,922: 1, points: 1, “no: 1, stats: 1, cases: 1, green: 1, beds: 1, 10: 1, blind: 1, roads.: 1, 5: 1, yellow: 1, 
levels;	because: 1, 
because;	it: 8, its: 1, everybody: 2, I: 13, there: 2, this: 1, otherwise: 1, GOG: 1, somebody: 1, Python: 1, they: 4, most: 1, the: 4, moisture: 1, sick.: 1, raw: 1, a: 1, of: 1, our: 1, that: 1, we: 1, Doc: 1, his: 1, everything: 1, 
made;	me: 2, an: 1, it: 2, a: 2, thus: 1, fun: 1, from: 1, mozzarella,: 1, ricotta: 1, planning: 1, way: 1, marshmallows: 1, the: 2, 
weird.;	I: 1, 
could;	have: 2, be: 3, “see”: 1, alert: 1, not: 2, run: 1, download: 2, automate,: 1, save: 1, read: 1, get: 1, really: 1, get,: 1, spend: 1, go.: 2, 
called;	the: 1, “data.”: 1, for: 1, The: 1, “Set: 1, 
“half;	pints”: 1, 
pints”;	or: 1, 
“short;	stuff”: 1, 
stuff”;	or: 1, 
impact,;	and: 1, 
funnier.;	So: 1, 
bothered;	by: 1, 
by;	things: 1, definition,: 1, the: 10, something: 1, a: 1, enabling: 1, activity: 2, it.: 1, Google: 1, what: 1, bees: 1, aging: 1, flirting: 1, my: 1, commanding: 1, its: 4, reading: 1, this: 1, camping: 1, discussions: 1, far: 1, oxygen: 1, lakes: 1, hand,: 1, not: 1, 
things;	like: 2, I: 1, to: 2, as: 1, medieval,: 1, back: 1, about: 1, that: 1, going: 1, and: 1, at: 1, in: 1, without: 1, produced: 1, 
that,;	keep: 1, I: 3, if: 3, until: 1, at: 1, so: 2, no: 1, nonetheless.: 1, 
mind;	if: 1, being: 1, for: 1, adding: 1, that: 1, 
you’re;	interested: 1, off: 1, doing,: 1, 
interested;	in: 3, in,: 1, 
playing;	the: 1, around: 1, some: 1, Dungeon: 1, right: 1, a: 1, 
another;	24: 1, comic: 1, step.: 1, number.: 1, part: 2, big: 1, bicycle: 1, batch: 1, location: 1, is: 1, post…: 1, high-ranking: 1, 
24;	Hour: 3, hours.: 2, 
Hour;	Comic: 3, 
Comic;	Book: 3, 
Book;	Day: 3, 
Day;	has: 2, 2014!: 1, weekend: 1, weekend,: 1, 
come;	and: 2, up: 1, from: 1, on.: 1, 
gone!;	I: 1, 
finished;	another: 1, with: 1, storming: 1, at: 1, sidequesting: 1, the: 1, 
comic;	book.: 1, about: 2, yet.: 1, ideas: 1, 
book.;	I: 2, So,: 1, 
started;	pretty: 1, making: 3, playing: 1, with: 1, writing: 1, thinking: 1, it),: 1, enjoying: 1, back: 1, teaching: 1, some: 1, trying: 1, another: 1, transcribing: 1, watching: 1, boiling: 1, pulling: 1, a: 1, 
strong,;	but: 1, 
couldn’t;	think: 1, say: 1, really: 2, get: 1, help: 1, do: 1, find: 1, even: 1, 
end;	it.: 1, up: 2, of: 3, 
spending;	too: 1, time: 1, 
thinking;	of: 1, about: 4, pulled: 1, we’ll: 1, 
ending;	and: 1, so: 1, 
saw;	the: 2, that: 4, in: 1, a: 1, this,: 1, it.: 1, they: 1, 
ticking;	away: 1, 
away;	so…: 1, from: 1, and: 1, as: 1, 
so…;	I: 1, nonsensical.: 1, 
gave;	it: 1, up: 1, the: 1, some: 1, 
awful;	ending: 1, 
stop;	spending: 1, everything: 1, in: 2, here: 1, watching: 1, 
Oh,;	well.: 4, yea,: 1, and: 1, the: 1, 
well.;	At: 1, Maybe: 1, I: 1, When: 1, 
At;	least: 2, “fully: 1, that: 1, last,: 1, night: 1, the: 2, 
least;	I: 1, of: 1, be: 1, once.: 1, the: 1, won’t: 1, as: 1, it: 1, 10: 1, because: 1, not: 1, logical: 1, 
After;	using: 1, my: 1, seeing: 2, years: 1, touristing: 1, investigating: 1, 
using;	countless: 1, it: 1, my: 1, the: 2, Forecast.io: 1, some: 1, raw: 1, public: 1, 
countless;	Ruby: 1, 
Ruby;	Gems,: 1, Gem: 1, (this: 1, for: 1, 
Gems,;	I’ve: 1, 
I’ve;	finally: 2, already: 4, personally: 1, been: 6, returned: 1, recently: 1, started: 3, made: 1, gotten: 2, ever: 2, done: 2, had.: 1, had: 3, learned: 1, decided: 1, read: 1, always: 2, tried: 1, also: 1, 
finally;	started: 1, installed: 1, decided: 2, discovered: 1, wanted: 1, got: 2, took: 1, managed: 1, attended: 1, organizing: 1, buying: 1, 
making;	my: 2, your: 1, a: 3, the: 2, brie: 1, class,: 1, very: 1, up: 1, further: 1, 
own.;	The: 1, 
The;	idea: 2, real: 1, reason: 1, main: 2, very: 1, true: 1, time: 3, total: 3, first: 3, higher: 1, recipe: 1, City: 1, bike: 1, instructions: 1, soft: 1, firmer: 1, zine: 1, problem: 1, Lady.: 1, Force: 1, Thirst: 3, movie: 1, Christine: 1, two: 1, raw: 1, pasteurized: 1, name: 1, bacteria: 1, sun-baked: 1, one: 1, second: 1, slide: 1, Mission.: 1, culture: 1, flavor: 2, kraut: 1, Golden: 1, walking/biking: 1, Bay: 1, sprout: 1, lactic: 1, last: 1, touchscreen: 1, resulting: 1, final: 1, 
idea;	is: 1, of: 1, that: 1, is:: 1, 
intimidating,;	but: 1, 
isn’t;	so: 3, as: 1, clear: 1, outright: 1, Windhelm.: 2, dead: 1, a: 1, 
different;	to: 1, error: 1, day.: 1, activities:: 1, activity: 1, activities: 1, things,: 1, from: 1, they: 1, the: 1, perspective.: 1, things.: 1, community: 1, strains: 1, stages: 1, enough: 1, seasonings: 1, 
scripts;	or: 1, 
Rails;	apps: 1, app.: 1, web: 1, app).: 1, 
apps;	since: 1, to: 1, 
since;	Bundler: 1, I’ve: 1, I: 3, they: 1, Doc: 2, these: 1, it: 1, Jay’s: 1, the: 2, we’ve: 1, my: 1, he: 2, we: 1, 
Bundler;	handles: 1, 
handles;	almost: 1, 
almost;	everything: 1, finished: 1, quit: 1, the: 1, immediately: 1, a: 1, pushing: 1, 
To;	set: 1, install: 1, be: 3, keep: 1, 
set;	up: 2, to: 1, the: 1, up,: 3, and: 1, his: 1, out: 2, in: 1, up.: 1, 
basics;	for: 1, 
Gem;	(as: 1, 
well;	as: 8, for: 1, precisely: 1, (especially: 1, 
initialize;	a: 1, 
git;	repository: 1, 
repository;	for: 1, 
it),;	simply: 1, and: 1, so: 1, 
simply;	run: 2, enough,: 1, the: 1, continue.: 1, skip: 1, proceed: 1, replicating: 1, “The: 1, 
$;	bundle: 1, rake: 2, 
bundle;	gem: 1, 
gem;	your_gems_name: 1, spec: 1, (the: 1, to: 4, for: 1, that: 1, structure: 1, 
terminal;	and: 1, while: 1, on: 1, is: 1, 
create;	(among: 1, action:: 1, my: 1, 
(among;	other: 1, 
other;	things): 1, people: 3, machine: 1, less: 1, categories: 1, weird: 2, race.: 1, business,: 1, was: 1, I: 1, bries: 1, jars,: 1, news,: 1, houses,: 1, beds: 1, mold-ripened: 1, things: 1, than: 1, windy…: 1, great: 1, as: 2, Vulcans.: 1, Vulcans: 1, agents: 1, species: 1, compounds: 1, consoles.: 1, 
things);	a: 1, 
spec;	file,: 1, 
file,;	which: 1, 
where;	you: 4, I: 2, they: 2, the: 2, we: 2, cormorants: 1, I’m: 1, 
list;	all: 1, of: 2, 
dependencies;	(if: 1, 
(if;	any),: 1, you: 1, 
any),;	as: 1, 
information;	(including: 1, 
(including;	version): 1, the: 1, 
version);	about: 1, to: 1, 
real;	meat: 1, 
meat;	of: 2, off: 1, 
logic,;	etc): 1, 
/lib/;	and: 1, 
should;	all: 1, (ideally): 1, not: 1, (which: 1, just: 1, try: 1, be,: 1, warn: 1, be: 1, do: 1, mention: 1, 
namespaced;	for: 1, 
avoid;	conflicts: 1, breaking: 1, 
conflicts;	with: 1, 
classes/methods;	that: 1, 
users;	might: 1, 
might;	have: 1, want: 1, lie: 1, not: 1, recall,: 2, mostly: 1, make: 1, 
written;	themselves: 1, yourself: 1, all: 1, my: 1, a: 1, the: 2, 
themselves;	(or: 1, (in: 1, 
(or;	even: 1, the: 1, indeed,: 1, lack: 1, 
ones;	you: 1, I’ve: 1, 
yourself;	for: 1, 
install;	your: 1, it.: 1, Basemap: 1, it: 1, 
local;	machine: 1, Talos: 1, lord.: 1, 
machine;	to: 1, with: 1, for: 1, 
test;	it: 1, cheeses: 1, cheeses,: 1, 
do,;	simply: 1, there’s: 1, 
rake;	install: 1, release: 1, 
while;	inside: 1, I: 1, for: 1, we: 1, being: 1, other: 1, 
inside;	your: 1, it.: 1, of: 1, approach: 1, all: 1, 
gem’s;	directory.: 1, 
directory.;	If/when: 1, 
If/when;	you: 1, 
ready;	to: 2, next: 1, 
release;	your: 1, 
(hopefully;	functioning): 1, 
functioning);	gem: 1, 
RubyGems.org,;	run: 1, 
there;	it: 1, are: 3, is: 4, to: 3, would: 2, left: 1, (as: 1, were: 2, or: 1, staring: 2, not: 1, was: 4, watching: 1, that: 1, we: 1, glaring: 1, on: 1, will: 1, 
goes!;	Be: 1, 
Be;	sure: 1, 
sure;	to: 3, the: 1, there’s: 1, they’ve: 1, beyond: 1, what: 1, where: 1, 
change;	the: 1, my: 1, as: 1, 
changes;	before: 1, introduced: 1, that: 2, 
before;	releasing: 1, this: 1, I: 2, consumption.: 1, rolls: 1, wrapping: 1, you: 1, eating: 1, and: 1, in: 1, they: 1, more: 1, 
releasing;	again,: 1, 
again,;	to: 1, there’s: 1, I’d: 1, it: 1, my: 1, just: 1, I: 1, and: 1, 
breaking;	the: 1, down: 1, 
people;	that: 2, might: 1, will: 2, loved: 1, are: 1, living: 1, when: 1, through: 1, helping: 1, had: 1, were: 1, did: 1, 
may;	have: 1, vary.: 1, recall: 2, remember: 1, 
installed;	previous: 1, Leaf: 2, QGIS: 1, on: 1, 
previous;	versions: 1, installment: 1, Sunday: 1, two: 1, 
versions;	and: 1, 
code;	based: 1, 
based;	on: 6, 
start;	out: 1, there: 1, with: 2, on: 1, walking: 1, 
enough,;	just: 1, Enterprise: 1, which: 1, 
gist;	of: 1, 
everything,;	and: 1, 
API;	wrapper: 1, (the: 1, itself: 1, is: 1, in: 1, key: 1, key,: 1, 
wrapper;	for: 1, 
SF;	Parks: 2, from: 2, to: 3, Tourist: 1, shirts,: 1, hoodie: 1, Bay: 1, 
Parks;	API: 1, API,: 1, 
itself;	is: 1, 
https://data.sfgov.org/api/views/z76i-7s65);	because: 1, 
its;	API: 1, info: 1, excellent: 1, furry: 1, predecessor,: 3, place.: 1, attack.: 1, neck: 2, wings: 1, neck.: 2, attack: 1, culture,: 1, way: 1, religion,: 1, architecture,: 1, writing,: 1, easy,: 1, absence),: 1, touch: 1, glitchy: 2, “locked”: 1, “unlocked”: 1, 
formatted;	really: 1, like: 1, 
weird;	and: 2, things.: 1, brain-eating: 1, side: 1, chortling: 1, fun: 1, things: 1, looks: 1, 
deeply;	nested: 1, 
nested;	and: 1, 
hard;	to: 1, 
traverse.;	I: 1, 
navigated;	all: 1, 
weirdness;	and: 1, 
PORO;	for: 1, 
ease;	of: 1, 
app.;	So: 1, And: 1, 
now,;	if: 1, I: 1, with: 1, what: 1, all: 1, we’re: 1, before: 1, 
anybody;	wants: 1, has: 2, who: 2, and: 1, 
wants;	to: 2, us: 1, 
API,;	they: 1, Forecast.io,: 1, 
quickly;	and: 1, display: 1, generate: 1, recovered: 1, by: 1, become: 1, moved: 1, I: 1, as: 1, 
fired;	up: 1, 
gems,;	so: 1, 
already;	begun: 1, written: 2, taken: 2, guessed: 1, including: 1, have: 3, had: 1, get: 1, started: 1, got: 1, on: 1, knows: 1, hanging: 1, 
begun;	work: 1, 
rating;	gem,: 1, gems: 1, gem: 1, system,: 1, 
gem,;	since: 1, 
personally;	noticed: 1, 
noticed;	a: 2, this: 2, their: 1, that: 3, earlier: 1, the: 1, 
dearth;	of: 1, 
gems;	out: 1, for: 1, 
there.;	There’s: 1, For: 1, What: 1, Little: 1, Well,: 1, Note: 1, So: 1, Although: 1, Starting: 1, 
There’s;	ratyrate,: 1, a: 1, 
ratyrate,;	but: 1, 
requires;	Devise: 1, 
Devise;	(which: 1, 
(which;	I: 2, is: 2, will: 1, includes: 1, nobody: 1, doesn’t: 1, 
use),;	so: 1, 
thought;	maybe: 1, I’d: 2, you: 1, the: 2, it: 6, that: 4, of: 1, it’d: 1, there: 1, I: 1, 
maybe;	other: 1, I: 1, the: 3, you: 1, it: 1, Nelacar: 1, told: 1, that’s: 1, even: 1, isn’t: 1, 
Devise.;	I’ve: 1, 
system,;	so: 1, 
remains;	is: 1, 
transfer;	my: 1, 
existing;	system: 1, 
system;	into: 1, itself,: 1, in: 1, 
structure;	so: 1, that: 1, 
others;	can: 1, better,: 1, 
Leaf;	Spy,: 2, community: 1, Spy’s: 1, Spy: 11, on: 2, to: 1, 
Spy,;	because: 1, and: 1, 
community;	has: 1, compared: 1, 
going;	on: 5, to: 9, through: 1, back: 1, up: 1, way: 1, on.: 1, with: 1, along: 1, 
reason;	I: 1, why: 1, 
putting;	it: 1, whole: 1, 
long;	is: 1, trips.: 1, trip: 1, road: 1, coordinates: 2, gone,: 1, to: 1, as: 1, necks: 1, been: 1, time: 1, enough,: 1, moping.: 1, 
needed;	to: 2, 
buy;	a: 1, some: 1, DKII;: 1, it: 1, the: 1, 
blue;	tooth: 4, 
tooth;	plug: 1, pairing: 2, back: 1, 
plug;	in: 1, 
board;	computer,: 1, 
computer,;	and: 1, 
ugh;	that’s: 1, 
that’s;	just: 1, who: 1, the: 2, another: 1, a: 1, it.: 1, 
step.;	For: 1, 
picked;	the: 1, up: 1, SF: 1, 
Konnwei;	KW902.: 1, 
fun,;	and: 3, so: 1, but: 1, 
relatively;	informative,: 1, 
informative,;	and: 1, 
helpful;	for: 1, error: 1, 
trips.;	For: 1, So: 1, I’ve: 1, 
discovered;	that: 5, pretty: 1, 
state;	of: 3, 
charge;	meter: 2, was: 1, to: 1, up: 1, twice:: 1, 
meter;	seems: 1, has: 1, is: 2, 
seems;	to: 4, pretty: 1, most: 1, like: 3, that: 1, super: 1, 
tick-down;	at: 1, 
random;	intervals:: 1, strangers: 1, 
“fully;	charged”,: 1, 
charged”,;	the: 1, 
92%.;	Makes: 1, 
Makes;	sense,: 1, 
sense,;	because: 2, 
read;	that: 2, and: 2, the: 3, on: 1, incredibly: 1, it: 1, anyway: 1, can: 1, 
Nissan;	built: 1, 
built;	in: 1, up: 1, 
safeguards;	that: 1, 
100%.;	I: 1, 
first;	bar: 1, time).: 1, obvious: 2, make: 1, step: 1, place,: 1, used: 1, place.: 1, introduced: 1, snag.: 1, timepoint: 1, flipping: 1, half: 1, impulse: 1, took: 1, time: 4, leg: 1, thing: 1, couple: 1, phone: 1, keyboardless: 1, 
bar;	after: 1, at: 3, watching: 1, cabinet: 1, 
after;	driving: 1, you: 1, approximately: 1, replacing: 1, I: 1, all),: 1, we: 1, the: 3, we’ve: 1, discovering: 1, getting: 1, all,: 1, all!: 1, work,: 1, arriving: 1, that: 1, all.: 1, 
driving;	it: 1, home: 1, 
82%.;	Then: 1, 
Then;	I: 5, on: 1, I’d: 1, we: 1, you’ll: 1, they: 1, 
next;	bar: 3, time: 1, day,: 1, step.: 1, question: 1, step: 1, to: 2, week: 1, month!: 1, weekend: 1, 
77%.;	Then: 1, 
75%.;	Then: 1, 
66%.;	It: 1, 
seem;	to: 5, pretty: 1, like: 2, high: 1, quite: 1, worth: 1, 
sense.;	Note:: 1, 
Note:;	when: 1, I: 1, 
fully;	charged,: 1, 
charged,;	the: 1, 
12;	bars,: 1, is: 1, hours.: 1, 
bars,;	so: 1, etc.: 1, 
each;	“bar”: 1, element: 1, activity.: 1, place.: 1, unique: 1, activity: 1, open: 1, way.: 2, others’: 1, other: 2, 
“bar”;	disappearing: 1, 
disappearing;	should: 1, 
(ideally);	indicate: 1, 
indicate;	an: 1, 
~8%;	change.: 1, 
few;	choices: 1, big: 1, things: 1, years: 1, others),: 1, troll: 1, more: 1, shelves: 1, 
choices;	for: 1, 
Spy’s;	SOC: 1, 
SOC;	meter: 2, meters: 1, has: 1, 
Nissan’s;	SOC: 2, 
Both;	SOC: 1, were: 1, 
meters;	are: 1, 
correct;	answer,: 1, the: 1, 
answer,;	as: 1, 
used;	this: 1, Leaf: 1, before:: 1, to: 3, the: 1, for: 1, were: 1, more: 1, it: 1, Windows: 1, purple: 1, an: 1, 
app;	while: 1, and: 1, 
work,;	so: 1, but: 1, and: 1, 
hardly;	a: 1, 
trip;	pushing: 1, I’ll: 1, such: 1, we: 2, I: 1, easier.: 1, (and: 1, then: 1, –: 1, that: 1, (aside: 1, in: 1, 
pushing;	it: 1, that: 1, me: 1, 
limits.;	You: 1, 
gotta;	figure,: 1, 
figure,;	Nissan’s: 1, there’s: 1, 
pulling;	its: 1, it: 1, 
info;	from: 1, 
computer;	that: 1, 
Spy;	is,: 1, has: 1, will: 1, port: 1, and: 1, to: 1, pairs: 1, on: 1, –: 1, are:: 1, could: 1, 
no;	sense: 1, arguments: 1, crashes!: 1, WGS84: 1, conversion: 1, need: 1, activity: 1, sign: 1, better: 1, matter: 1, avail.: 1, shoulder.: 1, cabbie: 1, secret: 2, morning: 1, mold,: 1, way: 1, new: 1, more: 1, 
different.;	But,: 1, Monumentally: 1, They: 1, 
But,;	oh: 1, as: 1, this: 1, like,: 1, after: 1, then: 1, yep.: 1, of: 1, 
oh;	well.: 1, 
Another;	thing: 1, 24: 1, man: 1, 
very,;	very: 1, 
homemade;	feel.: 1, brie: 2, eggnog.: 1, yogurt,: 1, 
feel.;	Like,: 1, 
homemade.;	It: 1, 
ginormous;	pain: 1, 
pain;	getting: 1, in: 1, 
getting;	it: 1, coupled: 1, a: 1, to: 1, the: 1, data: 1, nicer: 1, wrapped: 1, from: 1, me: 1, soft: 1, weird: 1, calls/texts/etc,: 1, 
running.;	I: 1, 
pairing;	is,: 1, Leaf: 1, screen: 1, 
definition,;	a: 1, 
horrific;	experience: 1, 
experience;	but: 1, the: 1, 
question;	all: 1, is: 1, 
life’s;	choices.: 1, 
found;	what: 1, that: 1, this: 3, out: 4, a: 3, hilarious: 1, the: 2, 
works;	for: 1, if: 1, so: 1, out.: 1, 
me,;	is: 1, surprisingly.: 1, but: 1, he: 1, and: 1, as: 1, 
port;	from: 1, to: 1, 
1;	(which: 1, will: 1, timepoint: 1, –: 1, 1/2: 1, until: 1, 
listen;	to: 2, 
audiobooks);	to: 1, 
“secured.”;	Many: 1, 
Many;	sources: 1, 
sources;	say: 1, 
changing;	the: 1, 
16;	will: 1, did: 1, 
Nexus;	5: 3, 4: 4, 5.: 1, 
5;	and: 1, of: 1, months.: 1, months,: 1, months: 1, ish: 1, with: 2, 
audiobooks,;	16: 1, 
all.;	Only: 1, To: 1, I: 2, But: 1, 
“secured”;	worked.: 1, 
worked.;	Then,: 1, 
Then,;	I: 1, 
device;	is: 1, 
“see”;	it: 1, 
screen;	on: 1, does: 1, is: 1, 
phone,;	and: 1, because: 1, 
pair;	it: 1, 
(this;	part: 1, was: 1, 
part;	only: 1, of: 7, in: 1, maybe: 1, 
done;	once,: 1, (because: 1, anything: 1, on: 1, with: 1, it,: 1, aging,: 1, before.: 1, 
once,;	the: 1, in: 1, 
time).;	Once: 1, 
Once;	paired,: 1, it: 1, 
paired,;	I: 1, 
turn;	off: 1, my: 1, on/off,: 1, out: 1, 
bluetooth,;	then: 1, 
open;	Leaf: 1, again,: 1, to: 1, and: 3, about: 1, 
(it;	only: 1, was: 1, 
this),;	and: 1, 
70%;	ish: 1, 
ish;	of: 1, minutes: 1, 
time,;	Leaf: 1, I: 1, but: 3, etc: 1, to: 1, as: 2, apparently: 1, Doc!: 1, 
pairs;	and: 1, (of: 1, 
go!;	Sometimes,: 1, 
Sometimes,;	yes,: 1, 
yes,;	I: 1, Warlocks: 1, 
through;	all: 1, there.: 1, it.: 1, my: 1, a: 2, the: 3, January).: 1, 
steps;	and: 1, 
bupkis.;	But,: 1, 
said,;	it: 2, figuring: 1, “when: 1, 
it,;	it: 1, or: 1, based: 1, as: 1, so: 2, and: 4, but: 2, because: 1, he: 1, that: 1, too.: 1, 
labor;	of: 1, 
love,;	and: 1, 
guy;	building: 1, did.: 1, in: 1, who: 2, 
building;	and: 1, –: 1, 
maintaining;	this: 1, 
And;	it: 2, there: 3, I: 5, be: 1, now: 2, so: 1, that: 2, yes,: 1, in: 1, how: 2, we: 2, then: 3, spent: 1, just: 1, on: 1, they: 1, as: 1, if: 1, do: 1, bad.: 1, for: 1, eating: 1, yet,: 1, then,: 1, guess: 1, 
super;	cool: 1, obsessed: 1, cool.: 1, detailed: 1, easy: 2, fun.: 2, comfortable.: 1, huge: 1, awesome: 2, excited: 1, delicious,: 1, interesting: 1, determined: 1, salty: 1, 
works!;	But: 1, 
massive;	pain: 1, trips: 1, 
butt;	to: 1, 
going.;	I: 1, 
haven’t;	used: 2, yet: 2, figured: 1, done.: 1, worked: 1, started: 1, heard: 1, finished: 1, actually: 1, even: 1, 
trips;	yet,: 1, without: 1, that: 1, 
yet,;	but: 2, so: 1, I: 2, 
taken;	my: 1, that: 1, up: 1, many,: 1, with: 1, 
several;	long: 1, backpacking: 1, genera: 1, 
road;	trips: 1, trip: 1, closures.: 1, Friday: 1, 
without;	Leaf: 1, allowing: 1, pants: 1, feeling: 1, it: 1, thinking: 1, cars: 1, chopping: 1, a: 1, 
–;	just: 1, especially: 1, because: 2, today’s: 1, no: 1, including: 1, presumably: 1, let: 1, I: 2, Revyn: 1, Faendal,: 1, inspired: 1, indeed: 1, indeed,: 1, he: 1, or: 1, they’ve: 1, the: 1, bacteria: 1, taken: 1, 
general;	feeling: 1, 
feeling;	for: 1, far: 1, guilty,: 1, 
further;	it: 1, research: 1, organization: 1, 
go,;	and: 1, 
yet;	turtled: 1, done: 1, whether: 1, I: 2, (I: 1, so: 1, to: 1, 
turtled;	or: 1, 
ran;	out: 1, across: 1, up: 1, 
juice;	or: 1, from: 1, of: 1, had: 1, was: 1, to: 1, 
anything.;	My: 1, But: 1, Plus: 1, I’ve: 1, 
My;	gut: 1, battery: 1, tire: 1, Pet: 1, next: 1, ongoing: 1, bike: 1, helmet: 1, original: 1, synopsis:: 1, character: 2, thighs: 1, 
gut;	method: 1, 
method;	has: 1, on: 1, 
working;	pretty: 1, on: 2, machine: 1, thus: 1, perfectly…: 1, 
surprisingly.;	But,: 1, 
methodology;	is: 1, 
beloved;	by: 1, Mission: 1, 
community,;	so: 1, 
learned;	from: 1, to: 1, this: 1, that: 1, more: 1, 
battery;	has: 1, capacity: 1, 
80%;	capacity: 1, 
capacity;	remaining: 1, meter): 1, 
remaining;	(which: 1, 
guessed;	based: 1, 
mileage;	I: 1, for: 1, counter: 1, from: 1, 
coupled;	with: 1, 
tire;	pressure: 3, pressure.: 1, on: 1, was: 1, 
pressure;	was: 1, warning: 1, before: 1, to: 2, built: 1, 
low,;	so: 1, 
filled;	them: 1, 
(ironically,;	I: 1, 
gradual;	decline: 1, 
decline;	in: 1, 
month;	or: 2, 
low;	tire: 2, with: 1, right: 1, 
pressure.;	The: 1, 
day,;	my: 1, ~45: 1, we: 3, because: 1, the: 1, 
dashboard;	low: 1, 
warning;	came: 1, to: 1, 
came;	on.: 1, across: 1, back: 1, from: 1, down: 1, to: 1, 
on.;	So,: 1, As: 1, It’s: 1, I: 2, Of: 1, I’ve: 1, 
So,;	Leaf: 1, the: 1, let: 1, which: 1, there’s: 1, obviously: 1, after: 1, overall,: 1, today: 1, I: 1, of: 1, literally: 1, about: 1, to: 1, 
alert;	you: 1, 
exact;	tire: 1, 
happens,;	but: 1, 
case;	this: 1, for: 1, that: 1, the: 1, I: 1, of: 1, 
exactly;	happen): 1, identical: 1, what: 2, that.: 1, the: 1, sure: 1, 
Rust,;	not: 1, you: 1, 
excellent;	documentation: 1, post: 1, 
documentation;	and: 1, on: 1, 
package;	handler: 1, 
handler;	(Cargo).: 1, 
(Cargo).;	But: 1, 
error;	handling.: 1, via: 1, message: 1, is: 1, messages: 2, if: 1, 
In;	Rust,: 1, this: 1, many: 1, a: 1, my: 1, order: 2, the: 1, most: 1, other: 1, all: 1, Santa: 1, 
choose;	to: 1, 
handle;	the: 3, errors: 1, 
via;	having: 1, @contact.latitude: 1, Bear: 1, recommendation.: 1, diffusion.: 1, 
having;	the: 1, such: 1, his: 1, a: 1, dinner: 1, to: 1, 
program;	panic: 1, that: 1, (and: 1, to: 2, will: 1, behaves: 1, 
panic;	(which: 1, and: 1, 
abort;	the: 1, 
entire;	program),: 1, 
program),;	but: 1, 
generally;	considered: 1, didn’t: 1, 
considered;	something: 1, part: 1, the: 1, doing: 1, walking: 1, 
avoided;	–: 1, 
especially;	if: 1, since: 2, 
writing;	a: 1, about: 1, 
code,;	and: 1, 
passed;	in: 1, when: 1, the: 1, 
number;	lower: 1, and: 1, might: 1, of: 1, 
lower;	than: 1, 
than;	n: 1, 10,: 1, I: 6, the: 4, 1,048,575: 1, that,: 1, Sunday: 1, cheddar: 1, Windows: 1, it: 2, getting: 1, all: 1, respiration: 1, 
n;	or: 1, 
greater;	than: 1, 
10,;	you: 1, which: 1, 
message;	and: 1, 
An;	exception: 1, Altmer: 1, evil: 1, 
exception;	would: 1, 
raised;	by: 2, 
therefore;	indicating: 1, is: 1, not: 1, 
indicating;	an: 1, 
actual;	bug: 1, addresses,: 1, bed,: 1, 
bug;	in: 1, that: 1, 
(and;	not: 1, so: 1, therefore: 1, we: 1, showed: 1, a: 1, keeps: 1, movie): 1, stanky): 1, 
user;	typing: 1, to: 1, (using: 1, using: 1, 
typing;	the: 1, 
wrong;	thing,: 1, that: 1, 
thing,;	etc).: 1, and: 1, 
case,;	you: 1, I: 1, our: 1, 
foresee;	(and: 1, 
probably;	could: 1, do: 1, not: 1, very: 1, just: 1, won’t: 1, still: 1, tried: 1, be: 3, 
specific;	case: 1, shapefile,: 1, 
unwrap;	something,: 1, it.: 1, 
either;	return: 1, switch: 1, 
return;	the: 1, 
result;	of: 1, 
computation;	or: 1, 
panic.;	But: 1, 
this,;	of: 1, too!: 1, I: 3, we: 1, 
course,;	runs: 1, I: 1, immediately: 1, the: 1, when: 1, and: 1, we: 1, 
runs;	into: 1, 
annoying;	things: 1, 
specify;	that,: 1, 
run;	into: 1, on: 3, it: 1, on,: 1, a: 1, 
error,;	for: 1, as: 1, 
continue.;	For: 1, 
